Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city’s water supply,​Timescale,Magnitude,Risk description,Current population,Population year,City location,Country location
35995,City of Brasília,Brasília,Brazil,Latin America,Public,,2017,Declining water quality,Current,Extremely serious,"Lack of adequate infrastructure for drainage of rainwater combined with illegal occupation of unsuitable areas and ancient construction methods leads to chronic flooding of urban environments in the DF in the rainy season. This reduces the competitiveness of firms , level of public services and quality of life for the population.",1409671,2015,"(-15.794229, -47.882166)","(-14.235004, -51.92528)"
35995,City of Brasília,Brasília,Brazil,Latin America,Public,,2017,Declining water quality,Short-term,Extremely serious,"Population increase leading to an increase in water consumption (residential and productive activities), combined with the increased use of water bodies (such as extenders of treated sewage - provided by federal law) as well as diffuse pollution from inadequate urban drainage and intensive use of pesticides.",1409671,2015,"(-15.794229, -47.882166)","(-14.235004, -51.92528)"
31181,City of Philadelphia,Philadelphia,USA,North America,Public,C40,2017,Declining water quality,Long-term,Less serious,,1555072,2015,"(39.952335, -75.163789)","(37.09024, -95.712891)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Declining water quality,Short-term,Serious,More intense rainfall affecting inadequate infrastructure,2513451,2016,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
54461,Gemeente Groningen,Groningen,Netherlands,Europe,Public,,2017,Declining water quality,Medium-term,Serious,More frequent dry periods in spring and summer can put regional vegetation at risk. Measures to retain and buffer water have been taken on a regular basis.,200500,2016,"(53.232386, 6.551335)","(52.132633, 5.291266)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,Public,,2017,Declining water quality,Current,Less serious,"The increase in the intensity of rainfall and the increased frequency of flooding points lead to situations of breakdown of the distribution network. Often, the company responsible for the supply needs to operate maintenance in parts of the network that were damaged. Moreover, the high rate of soil sealing has caused part of the precipitation to not infiltrate into the soil to recharge groundwater, thus causing loss of volume of water in the basin.",1142620,2016,"(-22.744027, -46.937174)","(-14.235004, -51.92528)"
35872,Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Declining water quality,Medium-term,Extremely serious,"The fact that Recife is cut by rivers raises the concerns about permanent inundations caused by the sea-level rise and changes in the rainfall regimes, aggravated by the waterproofing of soil.",1625583,2016,"(-8.057838, -34.882897)","(-14.235004, -51.92528)"
54623,Prefeitura de Betim,Betim,Brazil,Latin America,Public,,2017,Declining water quality,Current,Serious,Devido ao aumento de custos gerados pelas Obras de adequação da infraestrutura do sistema de captação de água e do trabalho de conscientização da população.,378089,2010,"(-19.967308, -44.20119)","(-14.235004, -51.92528)"
50386,Prefeitura de Cuiabá,Cuiabá,Brazil,Latin America,Public,,2017,Declining water quality,Medium-term,Less serious,"Num período a médio prazo, prevê-se um inicio de escassez dos recursos hídricos que abastecem a região do vale do rio Cuiabá. Devido ao aumento de temperatura e mudanças climáticas, que a cada dia tem aumentado em decorrência da falta de estruturas e suportes ambientais voltados para o reestabelecimento e a minimização dos impactos ambientais gerados no município.",580489,2015,"(-15.881977, -52.266326)","(-14.235004, -51.92528)"
54650,Prefeitura de Palmas,Palmas,Brazil,Latin America,Public,,2017,Declining water quality,Long-term,Less serious,Áreas entorno do lago de Palmas,279856,2016,"(-10.249091, -48.324286)","(-14.235004, -51.92528)"
50392,Prefeitura de Vitória,Vitória,Brazil,Latin America,Public,,2017,Declining water quality,Medium-term,Extremely serious,The region found under drought for over two years.,359555,2016,"(-20.333764, -40.377582)","(-14.235004, -51.92528)"
54692,Prefeitura Municipal de Sertãozinho,Sertãozinho,Brazil,Latin America,Public,,2017,Declining water quality,Long-term,Serious,"O município atualmente utiliza somente água subterrânea do aquífero Guarani para
abastecimento da população. No entanto, o crescente aumento das demandas do
município e alterações no ciclo de recarga do aquífero, poderão levar a possível
estresse hídrico.",121412,2016,"(-21.145069, -47.994746)","(-14.235004, -51.92528)"
60407,Municipalidad de Colina,Colina,Chile,Latin America,Public,,2017,Declining water quality,Current,Extremely serious,"Debido al calentamiento global, estar en momentos de sequía a nivel país, las napas subterraneas han bajado sus niveles y debido al deficit de lluvias no se ha producido una recarga del acuífero suficiente.
El riesgo que se corre a  nivel páis tiene que ver con el aumento de la población y el abastecimiento de agua potable, agua para la agricultura y actividades industriales.",116410,2012,"(-33.204292, -70.684042)","(-35.675147, -71.542969)"
60347,Prefeitura da Estância Climática de São Bento do Sapucaí,São Bento do Sapucaí,Brazil,Latin America,Public,,2017,Declining water quality,Short-term,Extremely serious,falta de saneamento básico,11000,2016,"(-22.687425, -45.731988)","(-14.235004, -51.92528)"
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,Public,,2017,Declining water quality,Long-term,Extremely serious,What do we do when we get the message about high bacteria count in tap water?. Please Environmental Contingency Plan.,60379,2015,"(57.442711, 10.521006)","(56.26392, 9.501785)"
60602,"Town of Ajax, ON","Ajax, ON",Canada,North America,Public,,2017,Declining water quality,Medium-term,Serious,Potential power outages resulting in water shortages,109600,2011,"(43.850855, -79.020373)","(56.130366, -106.346771)"
45219,Município de Aparecida,Aparecida,Brazil,Latin America,Public,,2017,Declining water quality,Medium-term,Serious,"Scarcity the water, due to the high consumption and dry reservoirs. The lack of rain has resulted in the disappearance of springs. Water sources and reservoirs of Paraíba Valley region of cities are with volume lower than expected, even for the dry season.
The water crisis reaches our region and this is also due to other factors such as shortcomings in the distribution system, lack of supervision, waste in direct consumption, improper occupation springs areas and riverbanks and lack of areas of recovery measures degraded, besides the forest fires that are increasing at this time.",36248,2016,"(-20.7, -41.666667)","(-14.235004, -51.92528)"
45219,Município de Aparecida,Aparecida,Brazil,Latin America,Public,,2017,Declining water quality,Current,Serious,Because droughts across the country flood risk decreased. With the increase of rain and storm floods can occur again.,36248,2016,"(-20.7, -41.666667)","(-14.235004, -51.92528)"
50388,Prefeitura de Natal,Natal,Brazil,Latin America,Public,,2017,Declining water quality,Short-term,Extremely serious,"Percebemos indícios, em um nível regional, no período de estiagem, uma diminuição dos níveis dos mananciais de abastecimento de água.",869954,2015,"(-5.779257, -35.200916)","(-14.235004, -51.92528)"
60373,Alcaldía de Ríohacha,Ríohacha,Colombia,Latin America,Public,,2017,Declining water quality,Short-term,Extremely serious,"el suministro de agua de la ciudad de Riohacha depende de un determinado caudal, viendose Afectado en las temporadas de sequía debido a la disminucion de la cantidad de agua que oferta la cuenca hidrica del rio tapias, por lo tanto se hace insuficiente brindar la cantidad de agua necesaria a todos los hogares.",277868,2017,"(11.441777, -72.909865)","(4.5709, -74.2973)"
60375,Gobiernación del Archipiélago de San Andrés,Archipiélago de San Andrés,Colombia,Latin America,Public,,2017,Declining water quality,Medium-term,Extremely serious,"La sobre poblemación es un componente que ejerce mucha presión sobre los recursos del Departamento, entre esos recursos esta el agua",76442,2017,"(12.579438, -81.697645)","(4.5709, -74.2973)"
31313,Dublin City Council,Dublin,Ireland,Europe,Public,,2017,Declining water quality,Short-term,Serious,"Dublin requires that a new water supply be sourced from the midlands of the country, piping flood waters from the shannon river to an attenuation reservior for use by the city",527612,2011,"(53.344479, -6.270843)","(53.41291, -8.24389)"
50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,Public,,2017,Declining water quality,Short-term,Serious,"The irrigation management manual for the Bucaramanga Metropolitan Aqueduct contemplates RISK 8. DO NOT DISTRIBUTE DRINKING WATER: DISTRIBUTION CONDUCTIONS FAILURES
 
By analyzing the insurance program of the environment, the distribution networks are not covered by the TRDM policy, but the environment has an approved budget for the maintenance of the networks, which is executed annually. In addition, the CER policy covers damages to third parties as a result of damage to distribution networks.",528269,2016,"(7.110349, -73.122742)","(4.5709, -74.2973)"
60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,Public,,2017,Declining water quality,Medium-term,Serious,"Sistema de coleta de esgoto antigo e sem a devida manutenção, tendo muita interferencia de ligações de águas plúviais na rede de esgoto.",57942,2016,"(-23.8081, -46.059941)","(-14.235004, -51.92528)"
60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,Public,,2017,Declining water quality,Long-term,Serious,Devido a diminuição da classe da água onde é realizado a captação no recurso hidrico. Como consequencia teremos um aumento no custo do tratamento da água para abastecimento.,57942,2016,"(-23.8081, -46.059941)","(-14.235004, -51.92528)"
60258,Prefeitura de Brusque,Brusque,Brazil,Latin America,Public,,2017,Declining water quality,Medium-term,Less serious,"A cidade é abastecida por mananciais de menor porte em suas regiões mais afastadas do centro urbano. Estes mananciais sofrem a influência direta do aumento ou diminuição das chuvas, o que pode ser afetado pelas mudanças climáticas.",125810,2016,"(-27.093638, -48.920654)","(-14.235004, -51.92528)"
50389,Prefeitura de Maceió,Maceió,Brazil,Latin America,Public,,2017,Declining water quality,Current,Serious,"Com a empresa sucateada, as estações de tratamento de água também passam por dificuldades e não atendem a toda a cidade. Boa parte dos abastecimentos ocorrem por água de poços artesianos em condições irregulares e que muitas vezes não possuem um correto controle de qualidade da água.",1021709,2017,"(-9.673422, -35.717987)","(-14.235004, -51.92528)"
54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,Public,,2017,Declining water quality,Current,Extremely serious,,629921,2010,"(-23.184768, -45.878284)","(-14.235004, -51.92528)"
54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,Public,,2017,Declining water quality,Current,Serious,,629921,2010,"(-23.184768, -45.878284)","(-14.235004, -51.92528)"
69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,Public,,2017,Declining water quality,Current,Less serious,Deterioro en el material de las tuberías de distribución por vejez.,191768,2015,"(7.060668, -73.872399)","(4.5709, -74.2973)"
73247,Prefeitura de Bayeux,Bayeux,Brazil,Latin America,Public,,2017,Declining water quality,Medium-term,Serious,,98716,2016,"(-7.125052, -34.926819)","(-14.235004, -51.92528)"
68385,Municipio de Chorrera,Chorrera,Panama,Latin America,Public,,2017,Declining water quality,Short-term,Serious,FALTA DE MANTENIMIENTO EN LAS PLANTAS POTABILIZADORAS,161470,2010,"(8.882894, -79.773631)","(8.538, -80.7821)"
36223,Antananarivo,Antananarivo,Madagascar,Africa,Public,,2017,Declining water quality,Short-term,Extremely serious,Les inondations détériorent la qualité des ressources en eau : divers déchets liquides et solides déversés dans le cours d'eau,1168898,2014,"(-18.87919, 47.507905)","(-18.766947, 46.869107)"
50680,Cascais,Cascais,Portugal,Europe,Public,,2017,Declining water quality,Long-term,Serious,"There are extreme situations: fast floods with more or less damage in rainy moments and in summer, there are streams which dry almost totally. Pollutant discharges increase water stress.",208122,2014,"(38.6970565, -9.4222945)","(39.399872, -8.224454)"
8242,City of Helsinki,Helsinki,Finland,Europe,Public,,2017,Declining water quality,Long-term,Less serious,"Diluted organic matter (DOM) content is increasing in the Lake Päijänne, our main raw water source. Water treatment processes cam be modified to reach good quality of drinking water in the future too.",636000,2016,"(60.1733244, 24.9410248)","(61.92411, 25.748151)"
58569,City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Declining water quality,Short-term,Serious,"Water supply systems are particularly vulnerable in the case of heavy rainfall, when their plants operate with difficulties or are out of operation. It is caused problem with maintaining water quality. Also, in that weather conditions is possible increased water pollution.",185937,2011,"(42.43042, 19.259364)","(42.708678, 19.37439)"
59168,Commune de Dioudoubou,Dioudoubou,Senegal,Africa,Public,,2017,Declining water quality,Short-term,Serious,Vetusité ds installation hydraulique: puits et l'unique forage de la commune,0,0,"(12.709511, -15.478916)","(14.497401, -14.452362)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,Public,,2017,Declining water quality,Short-term,Less serious,Sudden heavy rainfalls might cause floodings,133155,2015,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
54627,Prefeitura de Joinville,Joinville,Brazil,Latin America,Public,,2017,Flooding,Long-term,Extremely serious,Redução do volume disponível no corpo d´água devido à alteração do ciclo hidrológico.,562601,2015,"(-26.300964, -48.840707)","(-14.235004, -51.92528)"
50549,City of Fort Worth,Fort Worth,USA,North America,Public,,2017,Inadequate or aging infrastructure,Medium-term,Less serious,,833000,2015,"(32.7555, -97.3308)","(37.09024, -95.712891)"
54617,Alcaldia de Pereira,Pereira,Colombia,Latin America,Public,,2017,Flooding,Medium-term,Serious,en épocas de fenómeno del niño se presenta disminución de los caudales de las fuentes hídricas que alimentan los acueductos rurales,472000,2016,"(4.808717, -75.690601)","(4.570868, -74.297333)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni ,South Africa,Africa,Public,,2017,Declining water quality,Short-term,Extremely serious,"Climate change prediction. Over development and increased runoff. Degradation of natural flood zones, flood zone encroachment and high intensity rainfall due to changes in climatic patterns.",3379104,2016,"(-26.1777, 28.3462)","(-30.559482, 22.937506)"
50665,Município de Ovar,Ovar,Portugal,Europe,Public,,2017,Declining water quality,Medium-term,Extremely serious,,55398,2011,"(40.89008, -8.59723)","(39.399872, -8.224454)"
60140,City of Nakuru,Nakuru,Kenya,Africa,Public,,2017,Declining water quality,Current,Serious,"population increase has led to pressure on the existing infrastructure, inadequate financial resources has also led to poor maintenance of the aging infrastructure which needs upgrade",369839,2017,"(-0.303099, 36.080026)","(-0.023559, 37.906193)"
54329,Bogor City Government,Bogor ,Indonesia,South Asia and Oceania,Public,,2017,Declining water quality,Long-term,Serious,Out of City boundary,1047922,2015,"(-6.5971, 106.806)","(-6.121435, 106.774124)"
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Declining water quality,Short-term,Extremely serious,"*Extreme flooding causing prolonged exposure of water pipelines to flood water may affect water quality due to water intrusion in the water pipelines.
* Drought may cause shortage on the water supply in the City.",529039,2010,"(14.554729, 121.024445)","(12.879721, 121.774017)"
43937,Wellington City Council,Wellington,New Zealand,South Asia and Oceania,Public,,2017,Declining water quality,Current,Extremely serious,"Wellington has a significant problem with aging water infrastructure. The problem presents itself in two ways - firstly the existing infrastructure is of unknown quality and some eras of pipe have a tendency to fail early and unexpectedly. This is magnified by the risks from earthquakes, which significantly increase leakage in a shaky place like Wellington. As sea level rise increasingly affects stormwater and wastewater systems, it is unknown how it will affect the water supply in a coastal city like Wellington.",209102,2017,"(26.661763, -80.268357)","(-40.900557, 174.885971)"
50356,Ayuntamiento de Morelia,Morelia,Mexico,Latin America,Public,,2017,Declining water quality,Current,Serious,la perdida de agua en las redes son muy altas por instalaciones que cumplieron su vida util,729279,2010,"(32.502581, -117.069292)","(23.634501, -102.552784)"
50382,Municipio de Mérida,Mérida,Mexico,Latin America,Public,,2017,Declining water quality,Long-term,Less serious,,830732,2010,"(20.96737, -89.592586)","(23.634501, -102.552784)"
50381,Municipio de Torreón,Torreón,Mexico,Latin America,Public,,2017,Declining water quality,Current,Extremely serious,the drainage system has been affected due to more frequent rainfall + there is not a separate system for sewage and rain water,639629,2010,"(25.542844, -103.406786)","(23.634501, -102.552784)"
63616,Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,Public,,2017,Declining water quality,Short-term,Extremely serious,,30000,2015,"(31.323126, 34.344025)","(31.9522, 35.2332)"
60898,Ayuntamiento de Naucalpan de Juárez,Naucalpan de Juárez,Mexico,Latin America,Public,,2017,Declining water quality,Short-term,Serious,Colapso y pérdida de bienes muebles e inmuebles,844219,2015,"(19.463084, -99.245302)","(23.634501, -102.552784)"
58395,Bærum Kommune,Bærum,Norway,Europe,Public,,2017,Declining water quality,Medium-term,Less serious,"Failure or breakage in water and drainage system due to extensive power outage.
Long-lasting drought and forest fires causing pump station to burn.",122660,2016,"(59.920545, 10.593765)","(60.472024, 8.468946)"
50366,Ayuntamiento de Cuernavaca,Cuernavaca,Mexico,Latin America,Public,,2017,Declining water quality,Current,Extremely serious,Se llevan a cabo costos excesivos y deshonestos,366321,2010,"(18.927487, -99.242026)","(23.634501, -102.552784)"
54356,City of Parañaque,Parañaque,Philippines,South Asia and Oceania,Public,,2017,Declining water quality,Current,Less serious,,665822,2015,"(14.479309, 121.019823)","(12.879721, 121.774017)"
36492,Comune di Parma,Parma,Italy,Europe,Public,,2017,Declining water quality,Medium-term,Less serious,,194000,2017,"(44.8015, 10.3279)","(41.87194, 12.56738)"
59988,Mandaue City Government,Mandaue,Philippines,South Asia and Oceania,Public,,2017,Declining water quality,Medium-term,Extremely serious,"According to mcwd (metro cebu water district) findings, 32% of the total area of the city is affected by salt water intrusion. by 2030 salt water intrusion will reach mcwd wells due to unregulated private well extraction. Some deep wells are found to be contaminated with nitrate and/or nitrogen.",362654,2015,"(10.3403, 123.9416)","(12.879721, 121.774017)"
73282,Municipality of Ilha,Ilha,Mozambique,Africa,Public,,2017,Declining water quality,Current,Serious,,13000,2015,"(32.809917, -16.910775)","(-18.6657, 35.5296)"
62845,Jinja Municipal Council,Jinja ,Uganda,Africa,Public,,2017,Declining water quality,Current,Serious,"poor water quality arise due to loss of wetland vegetation, catchment vegetation and flooding",76057,2014,"(0.45021, 33.194542)","(1.373333, 32.290275)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Flooding,Current,Serious,The expected increase in extreme rainfall events has the potential to overwhelm existing storm water infrastructure and cause property damage and service disruption.,23615,2016,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
36492,Comune di Parma,Parma,Italy,Europe,Public,,2017,Flooding,Medium-term,Serious,,194000,2017,"(44.8015, 10.3279)","(41.87194, 12.56738)"
36261,Comune di Bolzano,Bolzano,Italy,Europe,Public,,2017,Flooding,Short-term,Less serious,,106397,2015,"(46.499681, 11.356576)","(41.87194, 12.56738)"
31052,City of Cardiff,Cardiff,United Kingdom,Europe,Public,,2017,Declining water quality,Short-term,Serious,"Warmer & wetter winters are forecast for Cardiff in the UK Climate Risks Assessment 2017 - Summary for Wales. Cardiff is a coastal city with 3 rivers (Taff, Ely & Rumney) rivers running through it and an outdated sewerage system. Flood risk management is addressed by the Council under the Flood Management Act. Flooding is a short term and real issue for Cardiff and will be a progressively more serious issue in the future.",354300,2014,"(51.481581, -3.17909)","(55.378051, -3.435973)"
59160,Ville de Nyon,Nyon,Switzerland,Europe,Public,,2017,Declining water quality,Short-term,Serious,"L'approvisionnement en eau se fait à partir de sources, de la nappe phréatique et du lac. En cas d'épisode de canicule et de sécheresse, il est déjà constaté que la part d'approvisionnement par les sources diminue.",20675,2016,"(46.383268, 6.234785)","(46.818188, 8.227512)"
58485,Abington Township,Abington ,USA,North America,Public,,2017,Declining water quality,Current,Less serious,Unknown as this has not been formally assessed in a climate mitigation plan.,55310,2010,"(40.12408, -75.119511)","(37.09024, -95.712891)"
52897,City of Aspen and Pitkin County,Aspen and Pitkin County,USA,North America,Public,,2017,Declining water quality,Long-term,Extremely serious,"Increasing dry periods in the Western U.S., decreasing proportion of precipitation falling as snow, and changes to the timing and availability of water could lead to greater pressure on existing water resources.",8427,2010,"(39.195, -106.837)","(37.09024, -95.712891)"
54104,City of Boulder,Boulder,USA,North America,Public,,2017,Declining water quality,Current,Serious,The water treatment facility is susceptible to power outages that could affect water management.,107167,2015,"(40.0274, -105.2519)","(37.09024, -95.712891)"
54617,Alcaldia de Pereira,Pereira,Colombia,Latin America,Public,,2017,Water losses,Short-term,Extremely serious,Existen zonas de inundación identificadas en el municipio,472000,2016,"(4.808717, -75.690601)","(4.570868, -74.297333)"
2430,City of Burlington,Burlington,USA,North America,Public,,2017,Declining water quality,Short-term,Serious,"Extreme weather events can impact flooding and tree falls which have effects on Burlington's livability, comfort, and crime levels.",42284,2015,"(44.4758825, -73.212072)","(37.09024, -95.712891)"
35859,City of Cleveland,Cleveland,USA,North America,Public,,2017,Declining water quality,Current,Serious,"In Cleveland, we have not only witnessed increased precipitation over the last few decades, but also heavier rains. Under the higher-emissions scenario, Ohio’s spring rainfall is projected to increase almost 15 percent over the next several decades and about 30 percent toward the end of the century. This may lead to more flooding, delays in the planting of spring crops, and declining water quality in rivers, streams, and storage reservoirs.",396815,2010,"(41.4993, -81.6944)","(37.09024, -95.712891)"
43910,City of Columbus,Columbus,USA,North America,Public,,2017,Declining water quality,Medium-term,Serious,"Increased cost for utility services (water, wastewater).",850106,2016,"(39.9611755, -82.9987942)","(37.09024, -95.712891)"
54075,City of Lakewood,Lakewood,USA,North America,Public,,2017,Declining water quality,Medium-term,Serious,"Most projections of future hydrology for Colorado’s river basins show decreasing annual runoff and less overall water supply, but some projections show increasing runoff. Warming temperatures could continue the recent trend towards earlier peak runoff and lower late summer flows.

Warming temperatures could increase the loss of water from plants and soil, lengthen growing seasons, and increase overall water demand.

Groundwater usage for agriculture could increase with warmer temperatures. Changes in precipitation could affect groundwater recharge rates.

Earlier streamflow timing could affect rafting and fishing. Changes in reservoir storage could affect recreation on-site and downstream. Declining snowpacks could impact winter mountain recreation and tourism.

(Climate Change in Colorado: A Synthesis to Support Water Resources Management and Adaptation, 2014)",152589,2015,"(39.7047, -105.0814)","(37.09024, -95.712891)"
10495,City of Las Vegas,Las Vegas,USA,North America,Public,,2017,Declining water quality,Medium-term,Less serious,"As Lake Mead's level declines, there are concerns of declining levels of water quality due to increased salinity. A recently completed third intake project at the lowest part of the lake will mitigate water quality concerns. In addition, invasive species (quagga mussel) have led to declines in water quality.",640174,2016,"(36.1699412, -115.1398296)","(37.09024, -95.712891)"
10495,City of Las Vegas,Las Vegas,USA,North America,Public,,2017,Declining water quality,Current,Less serious,"Water costs are higher due to infrastructure charges used to pay for new water projects, such as the third intake at Lake Mead. Even with conservation efforts, water costs have increased.",640174,2016,"(36.1699412, -115.1398296)","(37.09024, -95.712891)"
43908,City of Milwaukee,Milwaukee,USA,North America,Public,,2017,Declining water quality,Medium-term,Serious,,600155,2017,"(43.0389, -87.9065)","(37.09024, -95.712891)"
50560,City of Oakland,Oakland,USA,North America,Public,,2017,Declining water quality,Current,Serious,"The City's water utility has no tiered pricing, a strategy that could be pivotal for conserving water. The State of California also has antiquated water right laws that allow for excessive water use.",419000,2015,"(37.8044, -122.2708)","(37.09024, -95.712891)"
35874,City of Phoenix,Phoenix,USA,North America,Public,,2017,Declining water quality,Long-term,Serious,"Phoenix, because of its desert environment, has had a long history of progressive water planning.  Phoenix is well positioned to maintain an adequate water supply through approximately 2050.  After that time, it is difficult to forecast at this time.",1537058,2015,"(33.4484, -112.074)","(37.09024, -95.712891)"
49787,City of Benicia,Benicia,USA,North America,Public,,2017,Higher water prices,,,,27450,2014,"(38.049365, -122.1585777)","(37.09024, -95.712891)"
35995,City of Brasília,Brasília,Brazil,Latin America,Public,,2017,Flooding,Current,Extremely serious,"Flooding and severe diffuse pollution, especially in urban environment, with the loss of water quality allied to the spread of waterborne diseases and silting of rivers.",1409671,2015,"(-15.794229, -47.882166)","(-14.235004, -51.92528)"
58511,"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Declining water quality,Short-term,Extremely serious,"Above or below ground water supply pipelines and aqueducts that are located on predominantly low soil strength bay muds may be subject to higher groundwater as sea levels rise, increasing the risk of damage during a seismic event due to liquefaction. Increased liquefaction potential during seismic events, storm event flooding, and rising sea levels will increase the potential for failure of Delta levees. Failure of the levees could result in damage to the Mokelumne Aqueducts and disruption of water supply in particular to the Western Region. Floodwaters as well as rising groundwater will increase the potential that pipelines become buoyant and float, making them susceptible to damage that will increase the need for maintenance, repair, and replacement. Secondly, interruption of the power supply to water treatment and pumping stations will negatively impact water delivery.",107571,2013,"(37.9358, -122.3477)","(37.09024, -95.712891)"
35878,City of Sacramento,Sacramento,USA,North America,Public,,2017,Declining water quality,Medium-term,Serious,The State of California declared a drought and emergency restrictions on water use in May 2015. The Sacramento region continues to reduce water use and prepare for ongoing drought conditions.,490712,2015,"(38.5816, -121.4944)","(37.09024, -95.712891)"
